Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
1,11,55.0,41,11,3,469,78.43,23,17,24,18,12,45,15,41.1,16,Alexandru Cicâldău,alexandru-cicaldau,Konyaspor,
1,3,100.0,11,3,0,1120,88.61,6,0,61,29,33,43,59,64.56,12,Uroš Radaković,uros-radakovic,MKE Ankaragücü,
1,17,47.22,12,7,3,245,76.32,11,5,8,19,7,49,10,53.15,13,David Sambissa,david-sambissa,İstanbulspor,
1,15,83.33,10,3,6,855,75.46,34,30,77,64,30,104,22,60.0,25,Nuno Sequeira,nuno-sequeira,Pendikspor,
1,5,71.43,9,3,0,244,76.73,6,5,15,20,24,34,8,54.55,9,Nazım Sangaré,nazim-sangare,,Fatih Karagümrük
1,8,32.0,17,7,1,177,81.94,13,3,5,7,0,29,4,42.31,14,Garry Rodrigues,garry-rodrigues,,MKE Ankaragücü
1,0,0.0,6,3,2,643,84.05,4,0,73,7,14,10,29,46.99,5,Aaron Appindangoyé,aaron-appindangoye,,Sivasspor
1,24,77.42,15,2,2,792,86.18,6,1,37,38,12,94,22,56.59,34,Batista Mendy,batista-mendy,,Trabzonspor
1,10,83.33,5,1,1,1227,88.21,6,0,102,31,17,56,41,58.79,16,Guy-Marcelin Kilama,guy-marcelin-kilama,,Hatayspor
1,5,45.45,6,2,0,437,83.24,10,9,42,24,6,33,16,56.98,4,Erdem Özgenç,erdem-ozgenc,,Pendikspor
1,25,42.37,31,5,7,605,81.54,32,9,26,28,14,73,8,43.32,20,Alassane Ndao,ndao-alassane,,Konyaspor
1,15,50.0,25,10,5,424,82.01,22,17,26,15,4,41,6,40.52,11,Rachid Ghezzal,rachid-ghezzal,,Beşiktaş
1,6,37.5,11,3,4,578,81.52,13,8,41,31,17,53,9,55.36,17,Florent Hadergjonaj,florent-hadergjonaj,,Alanyaspor
1,14,58.33,32,8,3,754,82.68,16,3,44,54,13,101,25,59.15,33,Muammer Sarıkaya,muammer-sarikaya,,Çaykur Rizespor
1,5,55.56,13,6,3,431,76.01,29,22,31,34,16,47,4,45.54,8,Casper Højer,casper-hojer,,Çaykur Rizespor
1,6,60.0,17,2,1,298,81.87,13,5,12,9,7,22,11,40.74,7,Danijel Aleksić,danijel-aleksic,,Başakşehir FK
1,6,66.67,16,2,0,519,81.99,6,0,45,31,25,43,15,45.31,8,Youssef Aït Bennasser,youssef-ait-bennasser,,Yılport Samsunspor
1,14,58.33,9,3,0,466,75.16,10,1,58,27,15,61,15,53.52,20,Benjamin Stambouli,benjamin-stambouli,,Adana Demirspor
1,6,75.0,4,1,0,1243,86.26,4,1,74,37,32,62,34,53.93,20,Nihad Mujakić,nihad-mujakic,,MKE Ankaragücü
1,3,37.5,17,2,3,223,81.39,9,6,9,17,3,40,4,55.7,20,Endri Çekiçi,endri-cekici,,Pendikspor
1,8,57.14,11,3,1,348,77.68,15,4,21,15,7,32,13,35.71,9,Eduart Rroca,eduart-rroca,,İstanbulspor
1,0,0.0,10,2,1,204,82.93,6,5,16,11,3,14,12,48.15,3,Soner Aydoğdu,soner-aydogdu,,Yılport Samsunspor
1,7,77.78,3,1,1,777,78.09,5,1,67,24,32,38,58,54.55,7,Ľubomír Šatka,ubomir-satka,,Yılport Samsunspor
1,12,60.0,17,9,1,367,68.98,16,1,24,48,21,92,14,47.53,32,Furkan Soyalp,furkan-soyalp,,Gaziantep FK
1,17,62.96,16,7,0,248,89.86,7,4,7,10,3,44,3,57.32,17,Pione Sisto,pione-sisto,Alanyaspor,
