Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
2,1.8,53,16,3.77,6,54.55,1,15,189,97,65,63.78,45,Gökhan Gül,gokhan-gul,,Kasımpaşa
2,0.87,23,3,8.7,17,77.27,1,9,126,71,31,53.97,21,Andreaw Gravillon,andreaw-gravillon,,Adana Demirspor
2,1.07,14,4,14.29,10,41.67,5,19,249,68,12,53.33,19,Florent Hadergjonaj,florent-hadergjonaj,,Alanyaspor
2,2.36,18,4,11.11,5,71.43,3,16,124,49,69,64.48,9,Papy Djilobodji,papy-djilobodji,,Gaziantep FK
2,1.33,17,5,11.76,7,70.0,0,15,173,74,57,58.48,24,Chandrel Massanga,chandrel-massanga,,Hatayspor
2,2.86,47,13,4.26,46,60.53,2,34,213,122,3,44.64,36,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
2,1.18,18,8,11.11,8,32.0,1,15,78,31,4,43.21,16,Garry Rodrigues,garry-rodrigues,,MKE Ankaragücü
2,1.57,31,8,6.45,16,53.33,3,21,226,63,13,51.35,13,Gökcan Kaya,gokcan-kaya,,Pendikspor
2,1.12,9,2,22.22,12,80.0,2,10,87,72,57,58.64,23,Guy-Marcelin Kilama,guy-marcelin-kilama,,Hatayspor
2,1.6,7,2,28.57,3,60.0,1,3,66,51,40,61.9,27,Alpaslan Öztürk,alpaslan-ozturk,,Pendikspor
2,1.3,27,8,7.41,18,52.94,1,11,113,94,21,55.83,41,Ogün Özçiçek,ogun-ozcicek,,Gaziantep FK
2,1.64,11,3,18.18,5,62.5,1,2,70,33,41,53.62,11,Attila Mocsi,attila-mocsi,,Çaykur Rizespor
